Name,Team,BYE,Pos,ADP,Point Proj,ECR Rank,Tier
Tyjae Spears,TEN,10,RB,129,136.8,123,9
Tank Bigsby,JAC,8,RB,137,116.7,128,9
Jerome Ford,CLE,9,RB,157,120.5,142,9
Rachaad White,TB,9,RB,131,124.8,125,9
Jordan Mason,MIN,6,RB,116,139.4,109,8
Drake Maye,NE,14,QB,142,273.2,103,8
Jordan Love,GB,5,QB,126,267.9,108,8
Jared Goff,DET,8,QB,98,271.8,100,8
J.J. McCarthy,MIN,6,QB,144,266.3,120,9
Colston Loveland,CHI,5,TE,109,135.5,131,9
Dallas Goedert,PHI,9,TE,132,151.2,122,9
Jake Ferguson,DAL,10,TE,133,154.6,107,8
Dalton Kincaid,BUF,7,TE,130,147.6,119,9
Tyler Warren,IND,11,TE,108,141.1,115,8
Trey Benson,ARI,8,RB,153,131,146,10
Quinshon Judkins,CLE,9,RB,92,123,133,9
Dylan Sampson,CLE,9,RB,176,121,162,10
Zach Charbonnet,SEA,8,RB,117,138.5,110,8
Tyler Allgeier,ATL,5,RB,160,111,145,10
Najee Harris,LAC,12,RB,112,120.8,129,9
Adam Thielen,CAR,14,WR,179,155.1,159,10
Xavier Legette,CAR,14,WR,181,131,173,10
Cedric Tillman,CLE,9,WR,199,150.3,136,9
Marquise Brown,KC,10,WR,161,151.3,151,10
Brandon Aiyuk,SF,14,WR,120,125,126,9
Hunter Henry,NE,14,TE,168,137.2,139,9
Kyle Pitts Sr.,ATL,5,TE,138,120,154,10
Tua Tagovailoa,MIA,12,QB,163,251.9,132,9
Matthew Stafford,LAR,8,QB,178,246.9,143,10
C.J. Stroud,HOU,6,QB,134,265.1,114,8
Jaylen Wright,MIA,12,RB,184,110,168,10
Bhayshul Tuten,JAC,8,RB,156,109,165,10
Braelon Allen,NYJ,9,RB,177,108,144,10
Isaac Guerendo,SF,14,RB,149,107,155,10
MarShawn Lloyd,GB,5,RB,233,106,195,11
Ray Davis,BUF,7,RB,169,104,140,9
Jack Bech,LV,8,WR,162,113.8,203,11
Wan'Dale Robinson,NYG,14,WR,202,151,156,10
Marvin Mims Jr.,DEN,12,WR,152,128,148,10
Kyle Williams,NE,14,WR,182,11,164,10
Rashod Bateman,BAL,7,WR,172,146.4,141,9
Luther Burden III,CHI,5,WR,155,128,137,9
Jalen McMillan,TB,9,WR,192,121,176,10
Tre' Harris,LAC,12,WR,146,119.3,163,10
Roschon Johnson,CHI,5,RB,206,121,179,10
Jaydon Blue,DAL,10,RB,136,115.9,147,10
Will Shipley,PHI,9,RB,235,111,221,11
Michael Wilson,ARI,8,WR,324,127.6,204,11
Pat Bryant,DEN,12,WR,280,156,232,12
Chig Okonkwo,TEN,10,TE,222,134.6,185,11
Zach Ertz,WAS,12,TE,151,141.8,157,10
Jonnu Smith,PIT,5,TE,115,131.1,152,10
Christian Kirk,HOU,6,WR,166,145.9,130,9
Romeo Doubs,GB,5,WR,201,138.7,150,10
Justice Hill,BAL,7,RB,204,121,212,11
Kareem Hunt,KC,10,RB,189,117,218,11
Tyler Lockett,TEN,10,WR,249,116.6,229,12
Trevor Lawrence,JAC,8,QB,167,263,112,8
Cameron Ward,TEN,10,QB,173,229.7,167,10
